Blues-Word	Blues-Count	Blues-Proportion	Country-Word	Country-Count	Country-Proportion	Electronic-Word	Electronic-Count	Electronic-Proportion	Folk-Word	Folk-Count	Folk-Proportion	International-Word	International-Count	International-Proportion	Jazz-Word	Jazz-Count	Jazz-Proportion	Latin-Word	Latin-Count	Latin-Proportion	Pop_Rock-Word	Pop_Rock-Count	Pop_Rock-Proportion	Rap-Word	Rap-Count	Rap-Proportion	Reggae-Word	Reggae-Count	Reggae-Proportion	RnB-Word	RnB-Count	RnB-Proportion
i	33	5,820%	i	96	4,774%	you	79	4,677%	the	53	4,183%	the	29	7,455%	que	21	4,872%	que	67	3,629%	i	1229	4,715%	the	270	4,180%	i	59	5,148%	you	122	4,740%
a	21	3,704%	you	84	4,177%	the	69	4,085%	and	44	3,473%	and	20	5,141%	la	16	3,712%	i	56	3,034%	you	1128	4,327%	i	206	3,189%	the	58	5,061%	me	97	3,768%
the	18	3,175%	the	64	3,182%	i	60	3,552%	we	34	2,684%	of	13	3,342%	me	14	3,248%	you	53	2,871%	the	940	3,606%	and	159	2,461%	road	44	3,839%	i	85	3,302%
to	17	2,998%	a	52	2,586%	are	45	2,664%	to	31	2,447%	her	11	2,828%	de	12	2,784%	me	52	2,817%	to	732	2,808%	you	158	2,446%	a	37	3,229%	and	72	2,797%
hey	16	2,822%	and	43	2,138%	and	43	2,546%	you	30	2,368%	he	10	2,571%	it	11	2,552%	no	41	2,221%	and	624	2,394%	to	134	2,074%	and	36	3,141%	to	64	2,486%
you	15	2,646%	it	43	2,138%	a	34	2,013%	not	28	2,210%	i	9	2,314%	all	10	2,320%	y	39	2,113%	it	537	2,060%	ich	99	1,533%	dem	26	2,269%	it	63	2,448%
have	12	2,116%	me	40	1,989%	michael	30	1,776%	i	27	2,131%	you	9	2,314%	mi	10	2,320%	and	34	1,842%	me	450	1,726%	a	93	1,440%	have	25	2,182%	the	61	2,370%
but	11	1,940%	babi	35	1,740%	there	30	1,776%	it	27	2,131%	down	8	2,057%	y	10	2,320%	de	33	1,788%	not	433	1,661%	in	92	1,424%	is	24	2,094%	a	50	1,943%
not	11	1,940%	on	32	1,591%	to	29	1,717%	me	24	1,894%	is	8	2,057%	after	8	1,856%	a	32	1,733%	a	432	1,657%	denk	91	1,409%	you	24	2,094%	we	48	1,865%
so	11	1,940%	my	31	1,542%	in	27	1,599%	of	22	1,736%	she	8	2,057%	ella	7	1,624%	not	30	1,625%	is	336	1,289%	that	82	1,269%	to	21	1,832%	my	46	1,787%
and	10	1,764%	in	30	1,492%	am	25	1,480%	in	19	1,500%	for	7	1,799%	es	7	1,624%	to	28	1,517%	are	309	1,185%	my	78	1,207%	got	18	1,571%	call	41	1,593%
better	10	1,764%	whi	29	1,442%	go	23	1,362%	a	18	1,421%	to	7	1,799%	a	6	1,392%	mi	23	1,246%	do	294	1,128%	is	73	1,130%	it	18	1,571%	in	32	1,243%
it	10	1,764%	got	28	1,392%	not	21	1,243%	is	16	1,263%	bonni	6	1,542%	en	6	1,392%	it	21	1,138%	in	284	1,089%	und	72	1,115%	of	16	1,396%	is	32	1,243%
was	10	1,764%	not	28	1,392%	my	19	1,125%	must	16	1,263%	fold	6	1,542%	is	6	1,392%	la	20	1,083%	we	274	1,051%	it	64	0,991%	so	16	1,396%	this	27	1,049%
mani	8	1,411%	to	28	1,392%	on	19	1,125%	be	15	1,184%	have	6	1,542%	the	6	1,392%	do	19	1,029%	my	267	1,024%	not	62	0,960%	pictur	15	1,309%	feel	26	1,010%
my	8	1,411%	is	27	1,343%	so	19	1,125%	for	15	1,184%	will	6	1,542%	you	6	1,392%	that	19	1,029%	am	265	1,017%	all	60	0,929%	this	15	1,309%	got	25	0,971%
realli	7	1,235%	but	24	1,193%	that	18	1,066%	he	15	1,184%	wrong	6	1,542%	and	5	1,160%	se	18	0,975%	of	254	0,974%	on	59	0,913%	all	14	1,222%	just	25	0,971%
alley	6	1,058%	like	24	1,193%	now	17	1,007%	my	15	1,184%	call	5	1,285%	doctor	5	1,160%	your	17	0,921%	on	249	0,955%	was	59	0,913%	he	14	1,222%	your	24	0,932%
am	6	1,058%	your	20	0,995%	what	17	1,007%	are	13	1,026%	in	5	1,285%	el	5	1,160%	is	16	0,867%	that	249	0,955%	your	58	0,898%	no	13	1,134%	be	23	0,894%
are	6	1,058%	will	19	0,945%	your	17	1,007%	can	13	1,026%	on	5	1,285%	not	5	1,160%	but	15	0,813%	all	200	0,767%	of	55	0,851%	for	12	1,047%	not	22	0,855%
do	6	1,058%	just	17	0,845%	do	16	0,947%	no	13	1,026%	ride	5	1,285%	o	5	1,160%	e	15	0,813%	your	193	0,740%	die	51	0,789%	am	11	0,960%	am	21	0,816%
for	6	1,058%	love	17	0,845%	let	16	0,947%	so	13	1,026%	with	5	1,285%	será	5	1,160%	te	15	0,813%	so	179	0,687%	get	51	0,789%	like	11	0,960%	stori	21	0,816%
had	6	1,058%	that	17	0,845%	und	16	0,947%	on	12	0,947%	a	4	1,028%	this	5	1,160%	think	15	0,813%	will	179	0,687%	me	43	0,666%	man	11	0,960%	babi	20	0,777%
if	6	1,058%	are	16	0,796%	is	14	0,829%	but	11	0,868%	ask	4	1,028%	done	4	0,928%	tu	15	0,813%	know	176	0,675%	with	43	0,666%	me	11	0,960%	here	20	0,777%
that	6	1,058%	have	16	0,796%	been	13	0,770%	her	11	0,868%	his	4	1,028%	i	4	0,928%	would	14	0,758%	but	175	0,671%	this	40	0,619%	while	11	0,960%	no	20	0,777%
been	5	0,882%	jingl	16	0,796%	up	13	0,770%	kill	11	0,868%	me	4	1,028%	of	4	0,928%	am	13	0,704%	have	175	0,671%	am	39	0,604%	are	10	0,873%	now	20	0,777%
down	5	0,882%	never	16	0,796%	for	12	0,710%	with	11	0,868%	now	4	1,028%	said	4	0,928%	con	13	0,704%	never	171	0,656%	we	37	0,573%	rough	10	0,873%	so	20	0,777%
is	5	0,882%	all	15	0,746%	adventur	11	0,651%	all	10	0,789%	thee	4	1,028%	su	4	0,928%	esta	13	0,704%	be	169	0,648%	so	36	0,557%	fi	9	0,785%	are	19	0,738%
on	5	0,882%	heart	15	0,746%	all	11	0,651%	down	10	0,789%	again	3	0,771%	time	4	0,928%	el	12	0,650%	no	169	0,648%	do	35	0,542%	in	9	0,785%	have	19	0,738%
ever	4	0,705%	up	15	0,746%	it	11	0,651%	s	10	0,789%	all	3	0,771%	we	4	0,928%	for	12	0,650%	this	166	0,637%	like	35	0,542%	that	9	0,785%	will	19	0,738%
heard	4	0,705%	what	15	0,746%	see	11	0,651%	away	9	0,710%	by	3	0,771%	are	3	0,696%	danc	11	0,596%	love	162	0,621%	for	34	0,526%	just	8	0,698%	if	18	0,699%
know	4	0,705%	down	14	0,696%	sie	11	0,651%	lose	9	0,710%	countri	3	0,771%	be	3	0,696%	get	11	0,596%	for	160	0,614%	up	32	0,495%	we	8	0,698%	rememb	18	0,699%
